"","Dyad_ID","Group_name","Season","Group_size","Sex","Breeding_status","Age_class","Playing","Allopreening","Proximal foraging","Scrounging","Dominance display","Allofeeding"
"186","60396053","HIL","Autumn",7,"Male-Female","Helper-Helper","Young-Fledgling",5,2,34,2,4,0
"187","60396054","HIL","Autumn",7,"Male-Female","Helper-Helper","Young-Fledgling",5,2,37,3,1,0
"188","60536054","HIL","Autumn",7,"Male-Male","Helper-Helper","Fledgling-Fledgling",1,0,40,1,1,0
"189","54864779","HVR","Winter",10,"Male-Female","Parent-Parent","Adult-Adult",0,3,30,12,4,1
"190","54865899","HVR","Winter",10,"Male-Male","Parent-Helper","Adult-Yearling",0,1,16,0,1,0
"191","54865395","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Adult",0,1,14,0,0,0
"192","54865470","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Adult",0,2,14,0,0,1
"193","54865780","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Adult",0,1,15,0,0,0
"194","54865898","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Yearling",0,2,19,0,1,0
"195","54865942","HVR","Winter",10,"Male-Male","Parent-Helper","Adult-Young",0,0,18,3,3,0
"196","54865943","HVR","Winter",10,"Male-Male","Parent-Helper","Adult-Young",0,2,11,0,0,0
"197","54865979","HVR","Winter",10,"Male-Male","Parent-Helper","Adult-Young",0,2,15,0,0,0
"198","47795899","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Yearling",0,0,24,2,2,0
"199","47795395","HVR","Winter",10,"Female-Female","Parent-Helper","Adult-Adult",0,2,25,1,0,0
"200","47795470","HVR","Winter",10,"Female-Female","Parent-Helper","Adult-Adult",0,1,22,2,1,0
"201","47795780","HVR","Winter",10,"Female-Female","Parent-Helper","Adult-Adult",0,2,29,4,4,0
"202","47795898","HVR","Winter",10,"Female-Female","Parent-Helper","Adult-Yearling",0,1,26,5,7,0
"203","47795942","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Young",0,0,26,4,2,0
"204","47795943","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Young",0,2,20,1,2,0
"205","47795979","HVR","Winter",10,"Male-Female","Parent-Helper","Adult-Young",0,1,25,0,0,0
"206","58995395","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Yearling",0,4,15,2,1,2
"207","58995470","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Yearling",0,2,18,0,0,0
"208","58995780","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Yearling",0,1,25,0,0,0
"209","58995898","HVR","Winter",10,"Male-Female","Helper-Helper","Yearling-Yearling",1,2,27,1,0,0
"210","58995942","HVR","Winter",10,"Male-Male","Helper-Helper","Yearling-Young",1,0,21,1,1,0
"211","58995943","HVR","Winter",10,"Male-Male","Helper-Helper","Yearling-Young",1,3,22,0,1,0
"212","58995979","HVR","Winter",10,"Male-Male","Helper-Helper","Yearling-Young",1,3,20,1,0,2
"213","53955470","HVR","Winter",10,"Female-Female","Helper-Helper","Adult-Adult",0,3,23,2,0,0
"214","53955780","HVR","Winter",10,"Female-Female","Helper-Helper","Adult-Adult",0,1,17,1,0,1
"215","53955898","HVR","Winter",10,"Female-Female","Helper-Helper","Adult-Yearling",0,4,18,0,0,0
"216","53955942","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",0,0,17,1,1,1
"217","53955943","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",0,2,14,1,1,1
"218","53955979","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",0,3,19,0,1,1
"219","54705780","HVR","Winter",10,"Female-Female","Helper-Helper","Adult-Adult",0,2,17,0,2,0
"220","54705898","HVR","Winter",10,"Female-Female","Helper-Helper","Adult-Yearling",0,3,26,1,1,0
"221","54705942","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",0,0,21,3,1,1
"222","54705943","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",0,1,16,1,0,1
"223","54705979","HVR","Winter",10,"Male-Female","Helper-Helper","Adult-Young",0,2,18,1,0,0
