id,sex,weight,svl
BGS-1270,M,15.4,29.1
BGS-1271,F,18,29.7
BGS-1272,F,10.6,26.4
BGS-1273,M,16.775,31.925
BGS-1276,F,55.75,39.85
BGS-1277,M,12.8,28.5
BGS-1278,M,11.2,25.8
BGS-1279,F,9.2,24.3
BGS-1280,F,39.4,36.8
BGS-1281,F,14.8,28.8
BGS-1282,F,39.375,35.03333333
BGS-1283,F,43.7,37.93333333
BGS-1284,F,50.7,37.5
BGS-1285,F,68.55,41.65
BGS-1286,F,57.76,39.8
BGS-1287,F,28.4,33.4
BGS-1288,F,71.75,42
BGS-1289,F,49.76666667,38.53333333
BGS-129,F,49.53333333,38.43333333
BGS-1290,F,11.8,25.4
BGS-1291,F,62.8,40.56666667
BGS-1292,F,41.6,36.2
BGS-1293,F,64.6,41
BGS-1294,F,44.5,36.3
BGS-1295,F,50.4,36.66666667
BGS-1296,F,11.5,28
BGS-1297,F,43.05,36.05
BGS-1298,M,18.1,29.75
BGS-1299,M,20,32.6
BGS-13,F,40.5,36.73333333
BGS-130,F,52.15,41.025
BGS-1300,F,24.75,34.9
BGS-1301,F,18.6,30.1
BGS-1302,M,28.8,33.6
BGS-1303,F,55.4,41.7
BGS-1304,F,39.8,37.8
BGS-1305,F,26.1,32.25
BGS-1306,F,57.1,40.5
BGS-1307,F,29.6,34.1
BGS-1308,F,11,26.8
BGS-1309,M,12.1,25.5
BGS-1310,F,15.7,28.5
BGS-1311,M,17.4,31
BGS-1312,F,14.2,28
BGS-1313,F,31,33.1
BGS-1314,M,10,25.5
BGS-1315,F,52.95,41.6
BGS-1316,F,46.7,39
BGS-1317,F,13.8,26.9
BGS-1318,M,14.6,28
BGS-1319,F,47.83333333,38.26666667
BGS-1320,F,46.6,39.1
BGS-1321,F,16.3,31.6
BGS-1322,M,9.5,24.5
BGS-1323,M,47.2,43.4
BGS-1324,M,15.8,29.7
BGS-1325,M,36.1,37.2
BGS-1326,M,32.9,36.8
BGS-1327,F,64,41.75
BGS-1328,F,82.5,45
BGS-1329,F,64,41.5
BGS-1330,M,12.5,27
BGS-1331,M,32.2,34.33333333
BGS-1332,M,43.43333333,38.4
BGS-1333,M,37.6,37.5
BGS-1334,F,57.1,44.03333333
BGS-1335,M,12.6,28.9
BGS-1336,F,10.5,24.4
BGS-1338,F,46.6,38
BGS-1339,F,42.1,36
BGS-1340,F,33.05,34.15
BGS-1341,M,33.94,39.38
BGS-1342,F,16.65,29.75
BGS-1343,M,15.1,28.15
BGS-1344,F,11.95,25.35
BGS-1345,F,46.9,37.9
BGS-1346,F,52.65,39.05
BGS-1347,F,46.7,38.3
BGS-1348,F,57.6,42.96666667
BGS-1349,F,46.4,38
BGS-1350,F,41.5,36.5
BGS-1351,F,52.15,40.85
BGS-1352,M,26.3,32.5
BGS-1353,M,10,25.5
BGS-1354,F,21,31.8
BGS-1355,F,38.95,35.175
BGS-1356,F,13,26.3
BGS-1357,M,22.05,34.6
BGS-1358,M,35.6,36.9
BGS-1359,M,14.6,27.7
BGS-1360,M,12.3,27
BGS-1361,M,15.6,29.2
BGS-1362,F,21,31.2
BGS-1363,F,59.15,44
BGS-1364,F,20,30.4
BGS-1365,M,23.5,35.2
BGS-1366,M,15.4,28.4
BGS-1367,M,20.2,30.5
BGS-1368,F,22.8,31.5
BGS-1369,F,43.65,40.1
BGS-1370,F,17.58571429,29.05
BGS-1371,F,16.6,30.6
BGS-1372,F,50.6,39.4
BGS-1373,M,32.6,36.3
BGS-1374,F,47.2,41.2
BGS-1375,M,14.7,28.5
BGS-1376,M,14.1,27.7
BGS-1377,F,14.5,29.3
BGS-1378,F,44.5,38
