focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
lionel,josephine,0,male,female,13.58247775,30.58179329
pal,josephine,0,male,female,32.58042437,30.58179329
regina,josephine,0,female,female,7.58110883,30.58179329
renata,josephine,0,female,female,16.55578371,30.58179329
rita,josephine,0,female,female,30.58179329,30.58179329
rusty,josephine,0,male,female,6.798083504,30.58179329
tara,josephine,0,male,female,30.58179329,30.58179329
tobar,josephine,0.1,male,female,31.58110883,30.58179329
pal,lionel,0,male,male,32.58042437,13.58247775
regina,lionel,0,female,male,7.58110883,13.58247775
renata,lionel,0,female,male,16.55578371,13.58247775
rita,lionel,0,female,male,30.58179329,13.58247775
rusty,lionel,0,male,male,6.798083504,13.58247775
tara,lionel,0.25,male,male,30.58179329,13.58247775
tobar,lionel,0.111111111,male,male,31.58110883,13.58247775
regina,pal,0,female,male,7.58110883,32.58042437
renata,pal,0,female,male,16.55578371,32.58042437
rita,pal,0,female,male,30.58179329,32.58042437
rusty,pal,0,male,male,6.798083504,32.58042437
tara,pal,0,male,male,30.58179329,32.58042437
tobar,pal,0,male,male,31.58110883,32.58042437
renata,regina,1,female,female,16.55578371,7.58110883
rita,regina,0.1,female,female,30.58179329,7.58110883
rusty,regina,0.071428571,male,female,6.798083504,7.58110883
tara,regina,0,male,female,30.58179329,7.58110883
tobar,regina,0,male,female,31.58110883,7.58110883
rita,renata,0,female,female,30.58179329,16.55578371
rusty,renata,0.4,male,female,6.798083504,16.55578371
tara,renata,0,male,female,30.58179329,16.55578371
tobar,renata,0,male,female,31.58110883,16.55578371
rusty,rita,0.333333333,male,female,6.798083504,30.58179329
tara,rita,0,male,female,30.58179329,30.58179329
tobar,rita,0,male,female,31.58110883,30.58179329
tara,rusty,0,male,male,30.58179329,6.798083504
tobar,rusty,0,male,male,31.58110883,6.798083504
tobar,tara,0,male,male,31.58110883,30.58179329
daisy,coco,0,female,female,8.788501027,28.58042437
darwin,coco,0,male,female,6.581793292,28.58042437
debbie,coco,0,female,female,11.6386037,28.58042437
diana,coco,0,female,female,22.58179329,28.58042437
dolly,coco,0,female,female,16.75838467,28.58042437
donna,coco,0,female,female,29.58247775,28.58042437
dora,coco,0,female,female,24.58042437,28.58042437
doug,coco,0,male,female,10.53251198,28.58042437
littlejane,coco,0,female,female,28.58042437,28.58042437
littlejenkins,coco,0,female,female,6.579055441,28.58042437
littlejudy,coco,0,female,female,18.58179329,28.58042437
maggie,coco,0,female,female,27.58110883,28.58042437
mary,coco,0,female,female,7.906913073,28.58042437
masya,coco,0,female,female,22.58179329,28.58042437
mike,coco,0,male,female,15.58110883,28.58042437
moyo,coco,0,male,female,5.963039014,28.58042437
