focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
taylor,claire,0.026315789,female,female,8.873374401,11.21423682
tess,claire,0.081081081,female,female,15.58110883,11.21423682
tilly,claire,0.026315789,female,female,12.5174538,11.21423682
toni,claire,0.108108108,female,female,10.58179329,11.21423682
trixie,claire,0.057142857,female,female,23.58110883,11.21423682
violet,claire,0.1,female,female,22.58179329,11.21423682
vis,claire,0.1,male,female,9.32238193,11.21423682
zsabu,claire,0.102564103,male,female,23.58110883,11.21423682
daisy,coco,0,female,female,8.788501027,28.58042437
darwin,coco,0.051282051,male,female,6.581793292,28.58042437
david,coco,0,male,female,11.88501027,28.58042437
debbie,coco,0.052631579,female,female,11.6386037,28.58042437
diana,coco,0,female,female,22.58179329,28.58042437
diz,coco,0.025,female,female,5.804243669,28.58042437
dolly,coco,0.054054054,female,female,16.75838467,28.58042437
donna,coco,0.026315789,female,female,29.58247775,28.58042437
dora,coco,0,female,female,24.58042437,28.58042437
doug,coco,0.025641026,male,female,10.53251198,28.58042437
littlejane,coco,0.111111111,female,female,28.58042437,28.58042437
littlejenkins,coco,0.052631579,female,female,6.579055441,28.58042437
littlejudy,coco,0.078947368,female,female,18.58179329,28.58042437
longjohn,coco,0.075,male,female,7.58110883,28.58042437
maggie,coco,0.081081081,female,female,27.58110883,28.58042437
mary,coco,0.078947368,female,female,7.906913073,28.58042437
masya,coco,0.052631579,female,female,22.58179329,28.58042437
max,coco,0.054054054,male,female,6.924024641,28.58042437
maxine,coco,0.026315789,female,female,12.20260096,28.58042437
mike,coco,0.025,male,female,15.58110883,28.58042437
misha,coco,0,female,female,25.58247775,28.58042437
moyo,coco,0.027027027,male,female,5.963039014,28.58042437
nikkie,coco,0,female,female,15.69336071,28.58042437
nina,coco,0,female,female,10.36550308,28.58042437
noel,coco,0.1,female,female,36.58042437,28.58042437
pan,coco,0.052631579,male,female,24.58042437,28.58042437
pippa,coco,0.051282051,female,female,24.58042437,28.58042437
taylor,coco,0.052631579,female,female,8.873374401,28.58042437
tess,coco,0.054054054,female,female,15.58110883,28.58042437
tilly,coco,0.052631579,female,female,12.5174538,28.58042437
toni,coco,0.054054054,female,female,10.58179329,28.58042437
trixie,coco,0.085714286,female,female,23.58110883,28.58042437
violet,coco,0,female,female,22.58179329,28.58042437
vis,coco,0.1,male,female,9.32238193,28.58042437
zsabu,coco,0,male,female,23.58110883,28.58042437
darwin,daisy,0.142857143,male,female,6.581793292,8.788501027
david,daisy,0.146341463,male,female,11.88501027,8.788501027
debbie,daisy,0.073170732,female,female,11.6386037,8.788501027
diana,daisy,0.166666667,female,female,22.58179329,8.788501027
diz,daisy,0.139534884,female,female,5.804243669,8.788501027
dolly,daisy,0.125,female,female,16.75838467,8.788501027
donna,daisy,0.073170732,female,female,29.58247775,8.788501027
dora,daisy,0.071428571,female,female,24.58042437,8.788501027
doug,daisy,0.119047619,male,female,10.53251198,8.788501027
littlejane,daisy,0.051282051,female,female,28.58042437,8.788501027
littlejenkins,daisy,0.097560976,female,female,6.579055441,8.788501027
littlejudy,daisy,0.048780488,female,female,18.58179329,8.788501027
longjohn,daisy,0.046511628,male,female,7.58110883,8.788501027
maggie,daisy,0.075,female,female,27.58110883,8.788501027
mary,daisy,0.048780488,female,female,7.906913073,8.788501027
masya,daisy,0.097560976,female,female,22.58179329,8.788501027
max,daisy,0.1,male,female,6.924024641,8.788501027
maxine,daisy,0.048780488,female,female,12.20260096,8.788501027
mike,daisy,0.069767442,male,female,15.58110883,8.788501027
misha,daisy,0.05,female,female,25.58247775,8.788501027
moyo,daisy,0.05,male,female,5.963039014,8.788501027
nikkie,daisy,0.023255814,female,female,15.69336071,8.788501027
nina,daisy,0.071428571,female,female,10.36550308,8.788501027
noel,daisy,0.11627907,female,female,36.58042437,8.788501027
